ArtistID,Name
263,Anthony G. Quervelle
264,Boston Clock Company
265,William Breed
266,Samuel Edwards
267,Nathaniel Helme
268,Samuel Johnson
269,William Jones
270,Charles Le Roux
271,Knight Leverett
272,Jonathan Otis
273,Mark Nelson
274,Joseph Goldthwait
275,Benjamin Bakewell & Co.
276,"Bakewell, Page & Bakewell"
277,"Bakewell, Page & Bakewells"
278,Portland Glass Company
279,James Wilson
280,Karl L. H. Müller
281,John Burt
282,John Coney
283,Peter Van Dyck
284,William Worthington
285,Stephen Badlam
286,Carlo Bugatti
287,William Buttre
288,Alexander Jackson Davis
289,Burns and Trainque
290,Eugene B. Cunningham
291,Francis Doonen
292,Francis William Baumgarten and Company
293,Samuel Gragg
294,Thomas Howard Jr.
295,Duncan Phyfe & Sons
296,John Seymour
297,American Chair Company
298,Thomas E. Warren
299,The Van Dorn Iron Works Company
300,R. J. Horner and Company
301,Henry Ingle
302,Thomas Ash
303,Major John Dunlap
304,Samuel Dunlap
305,Lambert Hitchcock
306,Wallace Nutting
307,Slover and Taylor
308,Michael Smith
309,Matsu-Zukaya Company
310,Timothy Bridgen
311,Timothy Brigden
312,Johann Christoph Heyne
313,Israel Trask
314,Henry Hopper
315,George Duncan and Sons
316,"Clark, Coit and Cargill"
317,Charles Sumner Greene
318,Henry Mather Greene
319,Greene and Greene
320,Giannini and Hilgart Glass Company
321,Arthur Heun
322,William Crolius
323,Charles Cartlidge and Company
324,Josiah Jones
325,the Searle-Dennis shop tradition
326,William Searle
327,Thomas Dennis
328,Nehemiah Randall
329,Gustav Stickley
330,The Symonds Shop
331,Peter Blin
332,James Reynolds
333,Robert Crosman
334,Albert Coles
335,Koenigliche Porzellan Manufaktur
336,Frederick Marquand
337,Stephen Richard
338,W. N.
339,Wright Goodhue
340,McKee and Brothers
341,Joseph Richardson Sr.
342,J. Crutchett
343,Dubuc
344,Jacob
345,Aaron Willard
346,Jonathan Mulliken
347,J. Mason
348,Roswell Gleason
349,Andrew Ellicott Warner
350,Caughley Factory
351,Benjamin Brewood II
352,Garrett Eoff
353,Charles Faris
354,"Leonard, Reed & Barton"
355,Robert Peaston
356,William Peaston
357,Enoch Wood & Sons
358,Joseph Richardson Jr.
359,Tucker Factory
360,H. M.
361,I. P.
362,John Vernon
363,Christian Wiltberger
364,Florence Koehler
365,Hennessey Company
366,Joseph Stouvenal and Company
367,Long Island Flint Glass Works of Christian Dorflinger
368,Mount Washington Glass Company
369,William Gale and Son
370,Bryce Brothers
371,John H. Belter
372,Nicholas Roosevelt
373,Libbey Glass Company
374,John Ernest Miller
375,Cooper and Fisher
376,Charles A. Cornwall
377,David Haring
378,Ebenezer Moulton
379,E. J. Neale and Company
380,David Vinton
381,Elias Pelletreau
382,Worcester Factory
383,Willets Manufacturing Company
384,Atterbury and Company
385,Ralph Bagnall Beech
386,Tucker and Hemphill
387,John T. Vansant Manufacturing Company
388,New Bremen Glass Manufactory
389,John Frederick Amelung
390,Justus Brouwer
391,The Porcelain Axe
392,Jacob Scholl
393,Mary Louise McLaughlin
394,William Homes Sr.
395,Wedgwood-Whieldon partnership
396,John Bell
397,Timothy Sage
398,INK or IVK
399,"Corning Glass Works, Steuben Division"
400,Chelsea Keramic Art Works
401,William W. Gilbert
402,C. Ihmsen Company
403,South Boston Flint Glass Works
404,Henry Will
405,William F. Ladd
406,Harvey Lewis
407,John C. Moore
408,"Ball, Tompkins and Black"
409,Thomas Shields
410,Hugh Wishart
411,R. G.
412,Daniel Van Voorhis
413,J. Dunn
414,Faience Manufacturing Company
415,Edward Lycett
416,Rose factory
417,Henry Joseph
418,I. T.
419,Chelsea Factory
420,James Adam
421,John Adam
422,Thomas Arnold
423,Samuel Casey
424,Central Glass Company
425,John David Jr.
426,Elias Davis
427,W. O. Davis
428,John W. Forbes
429,Joseph Moulton
430,J. H.
431,W. H.
432,Alonzo C. Young
433,Boston Silver Glass Company
434,Peter Young
435,"Charters, Cann & Dunn"
436,Boyce and Jones
437,John Crawford
438,Garret Forbes
439,William G. Forbes
440,George B. Foster
441,William B. Heyer
442,Hyde and Nevins
443,John Letelier Sr.
444,Robert and William Wilson
445,American Art China Company
446,Louis Friedrich Vaupel
447,Joseph Dubois
448,Teunis Denise Dubois
449,Lewis and Smith
450,Henry Chapman Mercer
451,Moravian Pottery and Tile Works
452,Richard Chaffers & Company
453,Ralph Hall & Son
454,William Cowell Sr.
455,John Dixwell
456,Paul Lambert
457,Joseph Loring
458,Andrew Tyler
459,Glasgow Pottery Company
460,Rudolph T. Lux
461,Emily Drayton Taylor
462,Edward Greene Malbone
463,Fort Pitt Glass Works
464,Ralph Stevenson & Williams
465,George C. Flint and Company
466,Keene Glass Works
467,Jersey Glass Company of George Dummer
468,George Franklin Lapham
469,Louis Boudo
470,H. P. Sinclaire and Company
471,James Harvey Putnam
472,"Weller, Brown and Mesmer"
473,Leopold Eidlitz
474,Harvey Ellis
475,Nehemiah Adams
476,John Davey
477,John Davey Jr.
478,Nathaniel Gould
479,Robert Fisher
480,Bow Porcelain Factory
481,Martin Benedict
482,George Coldwell
483,John Burt Lyng
484,J. Pouyat
485,Anna B. Leonard
486,Maude Mason
487,Haviland & Co.
488,William Lycett Studios
489,Nathaniel Austin
490,Richard Austin
491,Thomas Badger
492,Frederick Bassett
493,Daniel Curtiss
494,Joseph Danforth
495,"Thomas Danforth, I"
496,John Danforth
497,"Thomas Danforth, III"
498,Simon Edgell
499,Jacob Eggleston
500,Lewis Fourniquet
501,Caroline Marie Gleason
502,R. C.
503,Job & John Jackson
504,Samuel Kilbourn
505,Samuel Minott
506,"William Ridgway, Son & Co."
507,Sowerby's Ellison Glass Works Limited
508,Joseph Stubbs
509,Amos Treadway
510,Amos Treadway Jr.
511,John Will
512,William Will
513,William Adams & Sons
514,Alexander Grant
515,Minic Accessories
516,Theophilus Nash
517,Andrea Ferara
518,Caleb Gardner
519,Simon Willard
520,William LeBaron Jenney
521,William B. Mundie
522,American Encaustic Tile Company
523,Herman Carl Mueller
524,Loiz Whitcomb Rhead
525,Toby E. Rosenthal
526,Julius Dessoir
527,Spaulding and Company
528,Hood and Tobey
529,Karl Kipp
530,Roycroft
531,William Beattie
532,Samuel Phippen
533,Aetna Furnace
534,Colebrookdale Furnace
535,Oxford Furnace
536,A. T.
537,Hylas Sack and Bucket Company
538,John La Farge
539,Samuel Flower
540,Rufus Farnam
541,Henry Farnam
542,Kensington Vial and Bottle Works of Sheets and Duffy
543,Henry William Stiegel
544,American Flint Glass Manufactory
545,Albany Glass Works
546,Baltimore Glass Works
547,Bridgetown Glass Works
548,Coventry Glass Works
549,Keene Marlboro Street Glassworks
550,Dyottville Glass Works
551,Kensington Glass Works
552,Kentucky Glass Works
553,Zanesville Glass Manufacturing Company
554,Lancaster Glass Works
555,Louisville Glass Works
556,Nicholas Lutz
557,McCarty and Torreyson
558,Mount Vernon Glass Works
559,Knox and McKee (Virginia Green Glass Works)
560,J. R. Robinson and Sons
561,Westford Glass Company
562,White Glass Works
563,James Pottery
564,B. J. Harrison
565,Greenwood and Company
566,Ernest Weber
567,John Welch
568,Stephen Whiting
569,George Grant Elmslie
570,American Terra Cotta and Ceramic Company
571,William Ellis Tucker
572,I. P. Frink
573,Henry N. Hooper and Company
574,"Mitchell, Vance & Co."
575,W. H. Edge
576,James Carr (New York City Pottery)
577,William P. Babcock
578,Achille Collas
579,Ferdinand Barbedienne
580,French Sculptor
581,Enoch Wood
582,Ralph Wood the Younger
583,Joseph Wright (Wright of Derby)
